Marque,CarType,FuelType,Gearbox,ManufacturingDate,Engine_l,Power_kW,Mileage_km,Price_euro
Volkswagen Passat, saloon / sedan        ,Diesel,Automatic,2013,2.0,130,141000,7959
Volvo XC60, suv / off-road        ,Diesel,Automatic,2009,2.4,151,249567,7999
BMW 530, wagon        ,Diesel,Automatic,2010,3.0,173,302494,9995
Audi A6, wagon        ,Diesel,Automatic,2012,2.0,130,280000,12200
Audi A4, wagon        ,Diesel,Manual,2016,2.0,110,212009,12990
Hyundai Santa Fe, suv / off-road        ,Diesel,Automatic,2012,2.2,145,93000,13250
Volvo V60, wagon        ,Diesel / electricity,Automatic,2015,2.4,120,185600,13450
BMW 328, saloon / sedan        ,Petrol,Automatic,2016,2.0,180,73964,13900
Toyota Corolla, saloon / sedan        ,Petrol,Manual,2019,1.6,97,48690,14250
Volkswagen T-Roc, suv / off-road        ,Petrol,Automatic,2018,1.5,110,34000,20800
Mercedes-Benz E220, saloon / sedan        ,Diesel,Automatic,2016,2.0,143,114225,23900
Opel Signum, hatchback        ,Diesel,Automatic,2004,3.0,130,330000,750
Skoda Octavia, saloon / sedan        ,Diesel,Manual,2004,1.9,77,370000,1400
Nissan Patrol, suv / off-road        ,Diesel,Automatic,2004,3.0,116,,5600
Audi Q7, suv / off-road        ,Diesel,Automatic,2007,3.0,171,,6700
Chrysler 300C, saloon / sedan        ,Diesel,Automatic,2008,3.0,165,250000,6800
Ford Mondeo, hatchback        ,Petrol,Automatic,2014,2.5,149,117000,7150
BMW 330, wagon        ,Diesel,Manual,2012,3.0,180,240917,7650
GMC Yukon, suv / off-road        ,Petrol / LPG,Automatic,2008,6.0,239,80000,7900
BMW 750, saloon / sedan        ,Petrol,Automatic,2013,4.4,330,155000,8900
Toyota Prius+, mpv / minivan        ,Petrol / electricity,Automatic,2016,1.8,100,219412,10450
BMW X6, suv / off-road        ,Diesel,Automatic,2009,3.0,173,280000,11499
BMW 550 Gran turismo, hatchback        ,Petrol,Automatic,2010,4.4,299,185000,11500
Hyundai i30, wagon        ,Diesel,Manual,2017,1.6,100,24000,11650
Subaru Forester, suv / off-road        ,Petrol,Automatic,2015,2.5,127,,12500
Audi A7 SPORTBACK, hatchback        ,Petrol,Automatic,2011,3.0,228,280000,13200
BMW 320, wagon        ,Diesel,Automatic,2017,2.0,,160000,13200
Cadillac ATS, coupe        ,Petrol,Automatic,2016,2.0,203,29000,13450
Volkswagen Passat, wagon        ,Diesel,Automatic,2015,2.0,176,315000,13999
Volkswagen Passat, wagon        ,Diesel,Automatic,2016,2.0,110,201313,15490
Toyota C-HR, suv / off-road        ,Petrol,Automatic,2018,1.2,85,50000,16250
Audi Q3, suv / off-road        ,Diesel,Automatic,2017,2.0,110,24600,17650
Mercedes-Benz C300, saloon / sedan        ,Petrol,Automatic,2018,2.0,180,9800,18400
Toyota Yaris, hatchback        ,Petrol / electricity,Automatic,2021,1.5,85,1,19990
Kia Sportage, suv / off-road        ,Diesel,Manual,2019,1.6,100,34053,21490
Kia Sportage, suv / off-road        ,Petrol,Automatic,2019,1.6,130,33586,22990
Kia Sportage, suv / off-road        ,Diesel,Automatic,2019,1.6,100,15525,23290
Kia Sportage, suv / off-road        ,Diesel,Automatic,2019,1.6,100,19931,23990
Kia Sportage, suv / off-road        ,Diesel,Automatic,2019,1.6,100,18418,24390
Kia Sportage, suv / off-road        ,Diesel,Automatic,2019,1.6,100,23866,24490
Kia Sportage, suv / off-road        ,Diesel,Automatic,2019,1.6,100,15748,24590
Kia Sportage, suv / off-road        ,Diesel,Automatic,2019,1.6,100,22319,24590
Kia Sportage, suv / off-road        ,Diesel,Automatic,2019,1.6,100,16760,24590
Kia Sportage, suv / off-road        ,Diesel,Automatic,2019,1.6,100,14140,24590
Kia Sportage, suv / off-road        ,Diesel,Automatic,2019,1.6,100,40000,25490
BMW X5 M, suv / off-road        ,Petrol,Automatic,2020,4.4,460,9700,129900
Ford Focus, wagon        ,Petrol,Manual,2005,1.8,92,1,390
BMW 316, wagon        ,Petrol,Manual,1997,1.6,75,289000,690
Suzuki Liana, suv / off-road        ,Petrol,Manual,2004,1.6,78,138000,1300
Opel Signum, hatchback        ,Petrol,Manual,2004,2.2,114,182000,1350
Toyota Corolla Verso, hatchback        ,Diesel,Manual,2009,2.2,100,128000,1450
Toyota Aygo, hatchback        ,Petrol,Manual,2006,1.0,50,150848,1700
Citroen C1, hatchback        ,Petrol,Manual,2012,1.0,50,94000,1850
Volvo S60, saloon / sedan        ,Diesel,Automatic,2007,2.4,136,400000,2200
Nissan X-Trail, suv / off-road        ,Diesel,Manual,2005,2.2,100,232000,2200
Toyota Avensis, wagon        ,Diesel,Manual,2004,2.0,85,246547,2250
Mercedes-Benz E270, wagon        ,Diesel,Automatic,2003,wagon,130,312089,2300
Volkswagen Passat, wagon        ,Diesel,Manual,2006,2.0,103,286000,2850
Volvo S40, saloon / sedan        ,Petrol / LPG,Manual,2005,1.8,92,146000,2900
Renault Laguna, hatchback        ,Diesel,Automatic,2007,2.0,110,236348,2999
Subaru Outback, wagon        ,Petrol / LPG,Manual,2005,2.5,121,340000,3250
Mercedes-Benz CLK270, coupe        ,Diesel,Automatic,2003,2.7,125,310416,3250
Audi A6, wagon        ,Diesel,Automatic,2005,2.7,132,35,3350
BMW 330, wagon        ,Diesel,Manual,2002,0.3,135,338998,3500
Volkswagen Jetta, saloon / sedan        ,Petrol,Manual,2007,2.0,147,186200,3500
Audi A6, wagon        ,Diesel,Automatic,2008,2.0,103,260000,3500
Mercedes-Benz E320, saloon / sedan        ,Diesel,Automatic,2003,3.2,150,320000,3550
Renault Espace, mpv / minivan        ,Diesel,Manual,2011,2.0,96,230000,3600
Mercedes-Benz E270, saloon / sedan        ,Diesel,Manual,2002,2.7,,,3600
Volvo XC70, suv / off-road        ,Diesel,Automatic,2005,2.4,120,301000,3650
Citroen C4, hatchback        ,Petrol,Manual,2012,1.6,88,220000,3850
Volkswagen Passat, wagon        ,Diesel,Automatic,2007,2.0,103,248000,3950
Mercedes-Benz E320, wagon        ,Diesel,Automatic,2004,3.2,150,275576,3999
Volvo XC90, suv / off-road        ,Diesel,Automatic,2005,2.4,120,370000,4000
BMW 535, wagon        ,Diesel,Automatic,2005,3.0,200,395000,4100
BMW 530, wagon        ,Diesel,Automatic,2005,3.0,170,290200,4150
Peugeot RCZ, coupe        ,Petrol,Manual,2011,1.6,147,127232,4400
Volkswagen Golf, hatchback        ,Petrol,Automatic,2010,2.5,125,145000,4450
Toyota Avensis, wagon        ,Diesel,Automatic,2009,2.2,110,320000,4499
Volvo V70, wagon        ,Diesel,Automatic,2012,1.6,84,270000,4500
BMW X5, suv / off-road        ,Diesel,Automatic,2004,3.0,160,280000,4600
BMW 530, saloon / sedan        ,Diesel,Automatic,2004,3.0,160,350000,4650
Toyota Avensis, saloon / sedan        ,Diesel,Manual,2010,2.2,110,229200,4799
Volkswagen Golf, hatchback        ,Diesel,Manual,2009,2.0,81,114000,4800
Audi A4, wagon        ,Diesel,Manual,2008,2.0,105,289000,4950
Audi A6 ALLROAD, wagon        ,Diesel,Automatic,2007,2.7,132,294000,4950
Audi A4, wagon        ,Diesel,Manual,2009,2.0,105,229000,5199
Audi A4, wagon        ,Diesel,Manual,2009,2.0,105,235000,5599
BMW X3, suv / off-road        ,Diesel,Automatic,2006,3.0,160,230000,5650
Audi A6, wagon        ,Diesel,Automatic,2009,3.0,176,363923,5650
BMW 318, saloon / sedan        ,Diesel,Manual,2011,2.0,,140823,5700
Audi A4, wagon        ,Diesel,Manual,2009,2.0,125,217000,5799
Volkswagen Caravelle, passenger vans        ,Diesel,Manual,2005,2.5,96,280000,5850
Hyundai i40, wagon        ,Diesel,Manual,2013,1.7,85,183400,5900
BMW 530, wagon        ,Diesel,Automatic,2008,3.0,173,189570,5950
Audi A1, hatchback        ,Petrol,Manual,2011,1.4,90,124000,6150
Renault Megane, wagon        ,Diesel,Manual,2016,1.5,70,163119,6190
Audi A4, wagon        ,Diesel,Manual,2012,2.0,100,241000,6250
Ford Focus, wagon        ,Petrol,Manual,2015,1.6,77,173000,6300
Volkswagen Touran, mpv / minivan        ,Diesel,Automatic,2012,2.0,103,260000,6400
Ford Focus, wagon        ,Diesel,Automatic,2014,2.0,85,175231,6490
Mercedes-Benz C220, wagon        ,Diesel,Automatic,2011,2.2,125,270000,6600
Volvo XC70, wagon        ,Diesel,Automatic,2008,2.4,136,360000,6600
Toyota Auris, hatchback        ,Petrol,Manual,2013,1.6,97,224000,6650
Volkswagen Tiguan, suv / off-road        ,Diesel,Automatic,2008,2.0,103,176000,7200
Subaru Outback, suv / off-road        ,Petrol / LPG,Automatic,2012,2.5,123,141389,7300
Mercedes-Benz E200, saloon / sedan        ,Diesel,Automatic,2010,2.1,100,266720,7500
Opel Insignia, saloon / sedan        ,Diesel,Manual,2014,2.0,88,159626,7690
Volkswagen Touareg, suv / off-road        ,Diesel,Automatic,2008,3.0,176,345500,7700
Volkswagen Passat, wagon        ,Diesel,Manual,2014,1.6,77,200992,7750
Audi A4 ALLROAD, wagon        ,Diesel,Manual,2011,2.0,,280000,7950
Volvo XC60, suv / off-road        ,Diesel,Automatic,2009,2.4,151,278000,8150
Volkswagen Passat, saloon / sedan        ,Diesel,Manual,2016,1.6,88,1,8300
Volkswagen Jetta, saloon / sedan        ,Petrol,Manual,2018,1.4,110,96298,9000
Volkswagen Passat, wagon        ,Diesel,Automatic,2017,1.6,88,187000,9500
Volkswagen Golf, hatchback        ,Petrol,Manual,2016,1.4,92,100621,9900
Opel Insignia, wagon        ,Diesel,Automatic,2015,2.0,124,139000,9950
Suzuki Vitara, suv / off-road        ,Diesel,Manual,2016,1.6,88,235319,9990
Renault Megane, wagon        ,Diesel,Manual,2017,1.5,81,164925,9990
BMW 328, saloon / sedan        ,Petrol,Automatic,2013,2.0,180,100000,10250
Mercedes-Benz E300, wagon        ,Diesel,Automatic,2012,3.0,170,305000,10500
Audi Q5, suv / off-road        ,Diesel,Automatic,2009,3.0,176,216000,10900
Audi Q5, suv / off-road        ,Petrol,Automatic,2009,2.0,155,147000,11300
Volvo V70, wagon        ,Diesel,Manual,2016,2.0,110,201926,11490
Toyota Land Cruiser, suv / off-road        ,Petrol / LPG,Automatic,2005,4.0,183,200000,11800
Ford Ranger, pick-up        ,Diesel,Automatic,2014,2.2,125,147000,12000
Lexus LS 600 h, saloon / sedan        ,Petrol / electricity,Automatic,2009,5.0,290,161000,12000
BMW 730, saloon / sedan        ,Diesel,Automatic,2009,3.0,180,379651,12100
Toyota Avensis, saloon / sedan        ,Petrol,Manual,2015,1.8,108,103238,12340
Toyota Prius, hatchback        ,Petrol / electricity,Automatic,2013,1.8,73,173301,12790
Lexus CT 200h, hatchback        ,Petrol / electricity,Automatic,2015,1.8,73,160620,12990
Audi A3, saloon / sedan        ,Diesel,Automatic,2016,1.6,81,225421,12990
BMW 530 Gran Turismo, saloon / sedan        ,Diesel,Automatic,2011,3.0,180,217000,13200
Subaru Forester, suv / off-road        ,Diesel,Automatic,2016,2.0,108,218000,13500
Skoda Superb, hatchback        ,Diesel,Automatic,2018,2.0,110,200000,13800
BMW 330, wagon        ,Diesel,Automatic,2013,3.0,190,187000,13950
BMW 328, saloon / sedan        ,Petrol,Automatic,2016,2.0,180,71000,14600
Hyundai Tucson, suv / off-road        ,Diesel,Automatic,2016,2.0,136,149000,14800
Volkswagen Tiguan, suv / off-road        ,Diesel,Automatic,2013,2.0,103,96000,14900
Volkswagen Passat, saloon / sedan        ,Diesel,Automatic,2016,2.0,110,190016,14950
BMW Active Hybrid 5, saloon / sedan        ,Petrol / electricity,Automatic,2014,3.5,250,195000,15500
Volkswagen Passat Alltrack, wagon        ,Diesel,Automatic,2017,2.0,140,165000,15500
Volkswagen T-Cross, suv / off-road        ,Petrol,Manual,2020,1.0,,853,16550
Audi Q3, mpv / minivan        ,Petrol,Automatic,2017,2.0,147,50000,16800
BMW X5, suv / off-road        ,Petrol,Automatic,2015,3.0,225,115000,18900
BMW 428, convertible        ,Petrol,Automatic,2014,2.0,180,53500,18990
Audi Q5, suv / off-road        ,Petrol,Automatic,2015,3.0,200,146000,20500
Porsche Panamera, hatchback        ,Petrol,Automatic,2014,3.6,228,90000,29999
BMW X2, suv / off-road        ,Petrol,Automatic,2019,2.0,141,20446,35000
Mercedes-Benz GLC Coupe 250, coupe        ,Diesel,Automatic,2018,2.1,150,33400,38888
BMW X5, suv / off-road        ,Petrol,Automatic,2020,3.0,250,6800,64500
Volvo V40, wagon        ,Petrol,Manual,1999,1.8,85,,350
Volkswagen Phaeton, saloon / sedan        ,Diesel,Automatic,2008,3.0,176,314000,399
Volkswagen Passat, wagon        ,Petrol / LPG,Manual,1998,1.6,74,359000,400
Audi A3, hatchback        ,Petrol,Manual,1998,1.6,74,285000,400
Opel Omega, wagon        ,Diesel,Manual,2000,2.0,74,300000,430
Seat Arosa, hatchback        ,Petrol,Automatic,1998,1.4,44,231000,450
Mercedes-Benz A170, hatchback        ,Diesel,Automatic,2002,1.7,70,171928,450
BMW 318, saloon / sedan        ,Diesel,Manual,1997,1.7,66,333333,470
Nissan Micra, hatchback        ,Petrol,Manual,2003,1.2,,149000,470
Volkswagen Golf, hatchback        ,Petrol,Manual,1998,1.6,74,364000,480
Opel Vectra, saloon / sedan        ,Diesel,Manual,2004,2.2,92,,480
Renault Scenic, hatchback        ,Petrol,Automatic,1999,2.0,80,,499
Peugeot 307, hatchback        ,Diesel,Manual,2003,1.4,50,380000,525
Volvo S70, saloon / sedan        ,Diesel,Manual,1997,2.5,102,480000,530
Audi A4, saloon / sedan        ,Petrol / LPG,Manual,1996,1.8,93,,550
Volkswagen Sharan, mpv / minivan        ,Diesel,Manual,2000,1.9,85,,650
Citroen Xsara Picasso, hatchback        ,Petrol,Manual,2000,1.8,85,,650
Volkswagen Golf, hatchback        ,Petrol,Manual,1999,1.6,74,,666
Mercedes-Benz Vaneo, mpv / minivan        ,Diesel,Manual,2004,1.7,67,250000,699
Volkswagen Sharan, mpv / minivan        ,Diesel,Manual,2003,1.9,96,456200,700
Opel Zafira, wagon        ,Diesel,Manual,2002,2.2,92,271584,700
Opel Astra, hatchback        ,Diesel,Manual,1998,2.0,60,245689,730
Chrysler PT Cruiser, hatchback        ,Diesel,Manual,2003,2.2,89,325300,750
Volkswagen Golf, hatchback        ,Petrol,Manual,2001,1.4,,270000,750
Mercedes-Benz E220, saloon / sedan        ,Diesel,Manual,1999,2.2,92,354000,750
Citroen Xsara Picasso, wagon        ,Diesel,Manual,2006,1.6,80,328000,750
Volkswagen Passat, wagon        ,Diesel,Manual,1998,1.9,81,366260,750
Toyota Corolla, hatchback        ,Petrol,Manual,1984,1.3,,285000,799
Volkswagen Golf, hatchback        ,Diesel,Manual,2001,1.9,85,321082,800
Opel Combo, pick-up        ,Diesel,Manual,2004,pick-up,,322500,800
Ford Galaxy, mpv / minivan        ,Diesel,Manual,2003,1.9,85,,800
BMW 525, saloon / sedan        ,Diesel,Manual,1998,2.5,105,270000,800
Audi A4, saloon / sedan        ,Petrol,Manual,1998,2.4,120,9999,800
Seat Toledo, saloon / sedan        ,Diesel,Manual,1999,1.9,81,267000,800
Peugeot 407, saloon / sedan        ,Diesel,Manual,2004,2.0,,256300,800
Opel Astra, hatchback        ,Petrol,Manual,1999,1.6,74,230000,850
Opel Frontera, suv / off-road        ,Petrol / LPG,Manual,2000,2.2,100,,850
Volkswagen Passat, saloon / sedan        ,Diesel,Manual,2001,1.9,,385362,850
Volkswagen Bora, saloon / sedan        ,Petrol,Automatic,2001,2.0,85,222109,895
Volvo S80, saloon / sedan        ,Petrol / LPG,Automatic,2001,2.4,103,360189,900
Volvo S80, saloon / sedan        ,Petrol / LPG,Automatic,2001,2.4,103,360189,900
Mazda 2, hatchback        ,Diesel,Manual,2003,1.4,50,,950
Audi A3, hatchback        ,Diesel,Automatic,2001,1.9,81,272000,950
Volkswagen Passat, saloon / sedan        ,Diesel,Manual,1999,1.9,85,330000,950
Alfa Romeo 156, wagon        ,Diesel,Manual,2005,1.9,110,200000,950
BMW 320, wagon        ,Diesel,Manual,2000,2.0,,293000,950
Volkswagen Passat, wagon        ,Diesel,Manual,1997,1.9,81,298779,950
Ford Galaxy, other        ,Diesel,Manual,2003,1.9,85,340000,999
Mitsubishi Pajero, suv / off-road        ,Diesel,Automatic,1996,2.8,,200000,999
Peugeot 206, hatchback        ,Diesel,Manual,2004,1.4,,105000,1000
Chevrolet Lacetti, hatchback        ,Petrol,Manual,2007,1.8,89,198772,1000
BMW 530, wagon        ,Diesel,Automatic,2000,2.9,138,623090,1000
Honda Accord, wagon        ,Petrol,Manual,2004,2.0,114,301200,1000
Ford Mondeo, wagon        ,Diesel,Manual,2003,2.0,96,360000,1100
Volkswagen Passat, wagon        ,Diesel,Automatic,1997,1.9,81,224000,1100
Nissan Primera, saloon / sedan        ,Petrol,Manual,2005,1.8,85,,1100
Audi A4, wagon        ,Petrol,Manual,2002,3.0,162,19000,1100
BMW 316, hatchback        ,Petrol,Manual,2003,1.8,85,320000,1100
Opel Meriva, mpv / minivan        ,Diesel,Manual,2006,1.3,55,200000,1100
Renault Laguna, hatchback        ,Diesel,Manual,2006,1.9,84,200000,1100
Peugeot 407, wagon        ,Petrol,Manual,2005,2.2,120,144000,1150
Mazda 6, wagon        ,Diesel,Manual,2005,2.0,89,324000,1150
Opel Astra, wagon        ,Diesel,Manual,2005,1.7,74,251000,1199
Renault Megane, wagon        ,Diesel,Manual,2005,1.5,74,108624,1200
Renault Scenic, mpv / minivan        ,Diesel,Manual,2005,1.9,96,150000,1200
Volvo S60, wagon        ,Diesel,Automatic,2002,2.4,120,200000,1200
Audi A6, saloon / sedan        ,Petrol / LPG,Automatic,1998,2.4,121,325241,1250
Skoda Octavia, wagon        ,Diesel,Manual,2001,1.9,66,472999,1250
Audi A4, wagon        ,Diesel,Manual,2000,1.9,85,385530,1299
Volkswagen Golf, wagon        ,Diesel,Automatic,2003,1.9,74,345600,1299
Lada 21051, saloon / sedan        ,Petrol,Manual,1981,1.2,,56456,1299
Opel Kadett, convertible        ,Petrol,Manual,1990,1.6,,120000,1300
Renault Modus, mpv / minivan        ,Diesel,Manual,2005,1.5,50,213000,1300
Saab 9-5, saloon / sedan        ,Petrol / LPG,Automatic,2002,2.3,125,250000,1300
Mazda 3, hatchback        ,Diesel,Manual,2005,1.6,80,208000,1300
Mercedes-Benz E250, saloon / sedan        ,Diesel,Manual,1999,2.5,110,,1300
Audi A6, saloon / sedan        ,Diesel,Manual,1999,1.9,81,305000,1350
Audi A4, wagon        ,Diesel,Manual,2003,wagon,120,290472,1350
Volkswagen Caddy, commercial        ,Diesel,Manual,2007,1.9,55,400000,1350
Nissan Note, mpv / minivan        ,Diesel,Manual,2006,1.5,63,200000,1350
BMW 320, wagon        ,Diesel,Automatic,2002,2.0,110,222000,1400
Audi A4, wagon        ,Diesel,Manual,2003,1.9,96,349999,1400
Audi A6, wagon        ,Diesel,Manual,2003,2.5,120,313000,1400
Volkswagen Golf, hatchback        ,Diesel,Manual,2002,1.9,96,275000,1400
Renault Megane, convertible        ,Diesel,Manual,2007,1.9,85,200000,1400
Audi A6, saloon / sedan        ,Diesel,Manual,1997,1.9,81,345645,1450
Opel Vectra, wagon        ,Diesel,Manual,2006,1.9,110,,1450
Volvo V50, wagon        ,Diesel,Manual,2005,2.0,100,200000,1450
Seat Alhambra, mpv / minivan        ,Petrol / LPG,Manual,2002,2.0,85,285000,1490
Aixam 400, hatchback        ,Diesel,Automatic,2001,0.4,4,70000,1490
Ford Mondeo, hatchback        ,Petrol / LPG,Manual,2005,3.0,166,206000,1499
Opel Astra, wagon        ,Diesel,Manual,2007,1.9,88,200000,1499
Volvo V50, wagon        ,Diesel,Manual,2004,2.0,100,200000,1499
Volvo S60, saloon / sedan        ,Diesel,Manual,2002,2.4,120,312000,1500
Peugeot 407, wagon        ,Diesel,Manual,2006,2.0,100,210000,1500
Subaru Outback, wagon        ,Petrol / LPG,Automatic,2004,2.5,115,222881,1500
Mercedes-Benz A170, mpv / minivan        ,Diesel,Automatic,2002,mpv,,167000,1500
Audi A3, hatchback        ,Petrol,Manual,1998,1.8,140,355856,1500
Peugeot 307, hatchback        ,Diesel,Manual,2007,1.6,66,239000,1550
Toyota Corolla, hatchback        ,Diesel,Manual,2003,2.0,85,178000,1550
Peugeot 307, hatchback        ,Diesel,Manual,2007,1.6,66,239000,1550
Opel Astra, hatchback        ,Diesel,Manual,2004,1.7,74,275000,1550
Skoda Octavia, wagon        ,Diesel,Manual,2005,1.9,66,267965,1550
Citroen Berlingo, mpv / minivan        ,Diesel,Manual,2006,1.6,66,206000,1550
Citroen C8, mpv / minivan        ,Diesel,Manual,2006,2.2,94,176000,1600
Opel Calibra, coupe        ,Petrol / LPG,Manual,1993,2.0,85,,1600
Toyota Avensis, saloon / sedan        ,Diesel,Manual,2003,2.0,85,315000,1600
Volkswagen Golf, wagon        ,Diesel,Manual,2000,1.9,85,400,1600
Toyota Avensis, wagon        ,Diesel,Manual,2003,2.0,85,271417,1600
BMW 320, saloon / sedan        ,Diesel,Automatic,2003,2.0,110,292822,1600
Saab 9-5, wagon        ,Diesel,Manual,2004,2.2,88,250000,1600
Volkswagen Touran, wagon        ,Diesel,Manual,2005,2.0,,270000,1650
Chrysler Voyager, mpv / minivan        ,Petrol / LPG,Manual,2004,2.4,108,265783,1650
BMW 520, wagon        ,Diesel,Manual,2003,2.0,100,301722,1650
Mercedes-Benz C220, saloon / sedan        ,Diesel,Automatic,2005,saloon,90,140000,1650
BMW 530, saloon / sedan        ,Diesel,Automatic,2001,2.5,120,184000,1650
Fiat Panda, hatchback        ,Diesel,Manual,2006,1.2,51,150000,1699
Volvo S60, saloon / sedan        ,Petrol,Manual,2002,2.4,125,285000,1700
BMW 525, wagon        ,Diesel,Automatic,2003,2.5,120,281200,1700
Subaru Impreza, wagon        ,Petrol,Manual,2002,2.0,92,137000,1700
Ford Mondeo, saloon / sedan        ,Diesel,Manual,2008,1.8,92,389000,1700
Ford Focus, hatchback        ,Diesel,Manual,2005,2.0,100,180000,1700
Renault Scenic, hatchback        ,Petrol,Manual,2004,2.0,98,175000,1750
Mazda Premacy, mpv / minivan        ,Petrol,Manual,2005,1.8,74,85000,1750
Volkswagen Passat, wagon        ,Diesel,Manual,2006,2.0,103,420000,1800
BMW 320, coupe        ,Petrol,Manual,2003,2.0,105,209005,1800
Opel Zafira, mpv / minivan        ,Diesel,Manual,2008,1.9,88,,1800
Citroen Grand C4 Picasso, wagon        ,Diesel,Automatic,2009,2.0,100,270000,1800
Audi A4, wagon        ,Diesel,Manual,2003,2.5,120,290000,1800
Volvo S60, saloon / sedan        ,Petrol,Manual,2001,2.4,125,170000,1800
Volkswagen Passat, wagon        ,Diesel,Manual,2007,2.0,103,243215,1800
BMW 530, wagon        ,Diesel,Automatic,2002,2.9,142,421580,1800
Citroen C4, hatchback        ,Petrol,Manual,2006,1.6,80,254840,1850
Mitsubishi Pajero, suv / off-road        ,Diesel,Automatic,1992,2.5,73,195000,1900
Opel Astra, hatchback        ,Diesel,Manual,2009,1.7,81,297512,1900
Toyota Previa, mpv / minivan        ,Diesel,Manual,2001,2.0,85,300000,1900
Toyota Avensis, saloon / sedan        ,Diesel,Manual,2003,2.0,85,220000,1930
Audi A2, hatchback        ,Petrol,Manual,2006,1.4,55,185900,1950
Volvo V50, wagon        ,Diesel,Manual,2005,2.0,100,270000,1950
Opel Vectra, saloon / sedan        ,Diesel,Manual,2007,1.9,88,,1950
